dew_point,temperature,pressure,cumulated_wind_speed,snow,rain,pollution_pm2.5
-19,-13,1032,16.09,0,0,23
-19,-14,1033,19.22,0,0,25
-19,-14,1034,22.35,0,0,27
-17,-12,1033,24.14,0,0,35
-16,-7,1033,4.02,0,0,50
-15,-7,1033,3.13,0,0,70
-15,-7,1032,6.26,0,0,75
-14,-6,1031,9.39,0,0,58
-14,-6,1031,12.52,0,0,70
-13,-5,1030,14.31,0,0,68
-14,-5,1031,16.1,0,0,71
-14,-6,1031,19.23,0,0,88
-13,-7,1032,23.25,0,0,84
-15,-6,1032,27.27,0,0,83
-15,-6,1033,30.4,0,0,66
-15,-4,1034,35.32,0,0,27
-16,-4,1034,44.26,0,0,24
-17,-5,1035,52.31,0,0,22
-17,-6,1035,60.36,0,0,23
-17,-8,1035,0.89,0,0,27
-19,-11,1036,4.02,0,0,23
-20,-11,1036,8.94,0,0,17
-21,-11,1035,4.02,0,0,17
-22,-12,1035,3.13,0,0,16
-22,-12,1035,4.92,0,0,16
-22,-13,1036,5.81,0,0,20
-22,-9,1036,13.86,0,0,20
-22,-10,1036,21.91,0,0,18
-22,-9,1036,29.06,0,0,25
-21,-9,1036,33.08,0,0,26
-20,-6,1035,42.02,0,0,27
-19,-5,1034,50.96,0,0,28
-19,-5,1033,59.01,0,0,15
-20,-5,1033,66.16,0,0,24
-20,-5,1032,71.97,0,0,13
-20,-5,1033,76.89,0,0,13
-20,-7,1033,81.81,0,0,13
-22,-7,1033,85.83,0,0,17
-22,-8,1033,89.85,0,0,20
-23,-10,1033,91.64,0,0,27
-23,-13,1033,93.43,0,0,20
-22,-12,1032,0.89,0,0,15
-22,-15,1031,1.78,0,0,21
-22,-14,1031,1.79,0,0,21
-22,-14,1031,0.89,0,0,37
-24,-18,1030,1.79,0,0,26
-24,-13,1030,3.58,0,0,15
-25,-14,1030,3.13,0,0,9
-24,-14,1030,7.15,0,0,11
-25,-12,1030,12.96,0,0,11
-26,-14,1030,16.98,0,0,16
-25,-12,1031,21,0,0,13
-25,-11,1031,26.81,0,0,15
-24,-11,1030,35.75,0,0,21
-23,-11,1029,47.82,0,0,24
-22,-11,1029,63.02,0,0,22
-23,-11,1029,75.98,0,0,22
-22,-11,1029,88.05,0,0,22
-23,-11,1030,101.01,0,0,19
-24,-11,1030,109.06,0,0,23
-24,-11,1032,118,0,0,25
-23,-11,1032,126.05,0,0,25
-23,-12,1032,134.1,0,0,31
-24,-12,1033,142.15,0,0,25
-23,-12,1033,150.2,0,0,22
-23,-12,1034,160.03,0,0,22
-24,-12,1034,169.86,0,0,15
-24,-12,1033,178.8,0,0,16
-25,-12,1033,189.98,0,0,11
-24,-13,1033,198.03,0,0,11
-25,-12,1032,205.18,0,0,12
-25,-12,1033,215.01,0,0,11
-25,-12,1032,226.19,0,0,12
-25,-12,1032,235.13,0,0,27
-25,-12,1032,243.18,0,0,28
-23,-11,1033,252.12,0,0,34
-23,-10,1033,257.93,0,0,33
-22,-9,1033,263.74,0,0,36
-21,-8,1031,270.89,0,0,26
-21,-6,1030,278.94,0,0,49
-20,-5,1029,286.99,0,0,52
-22,-5,1028,294.14,0,0,47
-21,-5,1028,299.06,0,0,47
-19,-7,1028,1.79,0,0,39
-19,-8,1028,0.45,0,0,59
-20,-9,1028,1.34,0,0,76
-19,-10,1027,1.79,0,0,96
-19,-13,1027,0.89,0,0,95
-18,-12,1027,1.78,0,0,68
-18,-13,1027,0.89,0,0,65
-18,-14,1026,1.78,0,0,75
-20,-15,1025,2.67,0,0,257
-20,-15,1025,0.89,0,0,174
-20,-16,1025,1.78,0,0,164
-20,-16,1024,3.57,0,0,161
-21,-17,1024,6.7,0,0,137
-19,-14,1023,10.72,0,0,92
-21,-17,1023,13.85,0,0,64
-19,-15,1024,15.64,0,0,87
-19,-14,1024,18.77,0,0,87
-18,-10,1024,22.79,0,0,84
-17,-9,1023,24.58,0,0,95
-16,-6,1023,26.37,0,0,79
-17,-5,1022,28.16,0,0,75
-16,-5,1022,29.95,0,0,79
-15,-4,1022,33.08,0,0,86
-16,-4,1023,0.89,0,0,72
-15,-5,1025,1.79,0,0,89
-14,-3,1026,5.81,0,0,94
-16,-3,1027,11.62,0,0,69
-15,-4,1029,20.56,0,0,49
-16,-5,1031,24.58,0,0,33
-17,-6,1032,3.13,0,0,27
-18,-6,1033,8.05,0,0,20
-19,-7,1034,13.86,0,0,36
-17,-8,1035,5.81,0,0,37
-18,-10,1035,11.62,0,0,30
-19,-10,1036,14.75,0,0,18
-19,-9,1036,19.67,0,0,21
-19,-9,1036,7.15,0,0,13
-20,-9,1037,12.96,0,0,23
-19,-9,1037,18.77,0,0,26
-19,-8,1038,22.79,0,0,27
-19,-8,1039,28.6,0,0,30
-19,-7,1039,35.75,0,0,28
-18,-6,1039,41.56,0,0,26
-18,-5,1039,45.58,0,0,26
-17,-4,1038,1.79,0,0,31
-16,-3,1037,0.89,0,0,35
-17,-3,1037,1.78,0,0,36
-17,-2,1037,2.23,0,0,37
-15,-5,1036,0.89,0,0,64
-15,-6,1036,0.89,0,0,83
-15,-6,1037,1.78,0,0,91
-14,-6,1037,1.79,0,0,90
-14,-8,1036,3.58,0,0,102
-14,-10,1037,0.89,0,0,94
-15,-11,1036,1.78,0,0,87
-15,-11,1036,2.67,0,0,141
-16,-13,1036,0.89,0,0,211
-16,-12,1036,0.89,0,0,242
-16,-13,1035,0.89,0,0,271
-15,-12,1035,1.78,0,0,249
-14,-10,1034,1.79,0,0,200
-15,-10,1034,2.68,0,0,147
-15,-11,1034,4.47,0,0,114
-15,-11,1034,6.26,0,0,102
-14,-9,1034,8.05,0,0,108
-14,-9,1034,9.84,0,0,135
-13,-6,1034,0.89,0,0,120
-13,-5,1033,1.79,0,0,148
-12,-4,1031,0.89,0,0,127
-12,-3,1031,1.78,0,0,128
-12,-3,1030,2.67,0,0,140
-11,-3,1030,3.56,0,0,148
-11,-4,1031,0.89,0,0,150
-12,-7,1031,0.89,0,0,154
-12,-7,1032,1.78,0,0,197
-12,-8,1032,2.23,0,0,235
-12,-9,1032,3.12,0,0,261
-13,-11,1032,0.89,0,0,269
-14,-11,1032,2.68,0,0,266
-15,-12,1032,5.81,0,0,263
-14,-11,1032,0.45,0,0,241
-14,-11,1031,1.34,0,0,205
-14,-12,1031,1.79,0,0,160
-14,-12,1031,3.58,0,0,150
-14,-10,1030,6.71,0,0,148
-14,-11,1030,9.84,0,0,208
-15,-10,1030,11.63,0,0,209
-13,-10,1030,14.76,0,0,183
-13,-8,1030,17.89,0,0,161
-12,-6,1030,0.45,0,0,182
-11,-5,1030,1.34,0,0,230
-11,-4,1029,2.23,0,0,170
-11,-3,1028,3.12,0,0,172
-10,-1,1027,4.01,0,0,154
-11,-1,1027,4.46,0,0,166
-10,-1,1026,0.89,0,0,177
-10,-3,1026,1.78,0,0,191
-10,-5,1027,2.67,0,0,212
-10,-6,1027,0.89,0,0,250
-11,-7,1027,0.45,0,0,268
-10,-7,1027,0.9,0,0,317
-11,-9,1027,1.35,0,0,291
-12,-9,1027,0.89,0,0,313
-12,-10,1028,0.89,0,0,282
-13,-11,1028,3.13,0,0,282
-11,-9,1028,4.92,0,0,303
-13,-10,1028,6.71,0,0,349
-13,-11,1028,7.6,0,0,407
-13,-11,1027,1.79,0,0,361
-14,-11,1028,0.89,0,0,234
-14,-11,1028,4.02,0,0,149
-14,-11,1028,5.81,0,0,147
-11,-6,1028,9.83,0,0,184
-10,-5,1028,11.62,0,0,161
-9,-3,1028,13.41,0,0,137
-8,-1,1027,15.2,0,0,146
-9,0,1026,16.99,0,0,144
-9,1,1025,1.79,0,0,154
-9,1,1025,0.89,0,0,173
-8,1,1025,0.89,0,0,188
-7,-1,1025,2.68,0,0,203
-7,-2,1025,0.89,0,0,233
-7,-3,1025,0.89,0,0,408
-5,-2,1026,0.89,0,0,435
-5,-1,1026,1.79,0,0,403
-5,-1,1026,3.58,0,0,360
-6,-1,1026,0.89,0,0,402
-4,-1,1025,1.79,0,0,358
-5,-1,1024,4.92,0,0,383
-5,-1,1024,6.71,0,0,332
-5,-1,1023,8.5,0,0,274
-4,-1,1022,10.29,0,0,256
-4,-1,1021,11.18,0,0,302
-4,-1,1021,12.07,0,0,330
-4,-1,1021,13.86,0,0,367
-4,0,1021,0.89,0,0,297
-4,0,1021,1.79,0,0,331
-4,0,1021,0.89,0,0,323
-5,1,1021,1.79,0,0,339
-5,1,1020,0.89,0,0,301
-4,1,1019,1.34,0,0,310
-4,1,1018,0.89,0,0,305
-3,2,1018,0.45,0,0,313
-3,2,1018,1.34,0,0,336
-2,2,1018,0.89,0,0,357
-3,1,1018,0.89,0,0,485
-3,2,1020,1.79,0,0,426
-3,1,1020,4.92,0,0,403
-3,0,1021,6.71,0,0,374
-3,0,1021,8.5,0,0,333
-3,1,1020,11.63,0,0,343
-2,0,1021,14.76,0,0,364
-2,-1,1022,16.55,0,0,389
-4,-2,1022,19.68,0,0,368
-2,-1,1023,25.49,0,0,267
-3,1,1023,28.62,0,0,71
-3,0,1024,31.75,0,0,81
-5,2,1026,36.67,0,0,51
-9,1,1027,41.59,0,0,49
-10,0,1028,48.74,0,0,44
-10,0,1030,55.89,0,0,45
-11,1,1032,63.04,0,0,35
-13,0,1033,71.09,0,0,29
-13,0,1033,78.24,0,0,27
-13,-1,1033,8.05,0,0,29
-13,-1,1032,7.15,0,0,16
-15,-1,1032,5.81,0,0,23
-14,-1,1033,5.81,0,0,28
-15,-2,1033,12.96,0,0,22
-16,-3,1034,21.01,0,0,11
-17,-4,1035,28.16,0,0,25
-19,-3,1036,37.99,0,0,16
-18,-4,1037,46.93,0,0,20
-19,-4,1038,55.87,0,0,20
-19,-5,1038,65.7,0,0,18
-20,-6,1038,75.53,0,0,18
-20,-6,1038,85.36,0,0,17
-20,-7,1038,95.19,0,0,17
-22,-8,1038,103.24,0,0,17
-23,-8,1038,111.29,0,0,15
-24,-9,1038,118.44,0,0,19
-24,-9,1038,128.27,0,0,16
-25,-9,1038,138.1,0,0,18
-25,-8,1039,147.04,0,0,18
-25,-8,1039,155.98,0,0,18
-22,-7,1039,160.9,0,0,26
-22,-7,1038,3.13,0,0,26
-22,-5,1037,4.02,0,0,25
-21,-5,1035,3.13,0,0,24
-21,-4,1034,1.79,0,0,15
-20,-3,1034,1.79,0,0,17
-21,-2,1033,4.92,0,0,15
-20,-2,1033,10.73,0,0,21
-20,-2,1034,15.65,0,0,40
-19,-3,1034,21.46,0,0,51
-19,-3,1035,25.48,0,0,45
-17,-8,1035,0.89,0,0,61
-18,-9,1035,1.79,0,0,72
-18,-9,1035,3.58,0,0,38
-18,-6,1036,7.6,0,0,35
-20,-4,1037,17.43,0,0,29
-21,-5,1037,27.26,0,0,26
-21,-6,1037,35.31,0,0,18
-20,-7,1036,42.46,0,0,15
-20,-7,1035,48.27,0,0,15
-20,-7,1035,54.08,0,0,22
-20,-7,1036,59,0,0,21
-19,-7,1036,63.92,0,0,19
-20,-5,1036,67.94,0,0,22
-19,-4,1036,75.09,0,0,25
-19,-4,1036,84.03,0,0,22
-19,-3,1035,95.21,0,0,26
-18,-3,1034,105.04,0,0,32
-19,-2,1033,114.87,0,0,30
-18,-2,1032,124.7,0,0,32
-18,-2,1032,133.64,0,0,30
-18,-2,1032,139.45,0,0,32
-18,-3,1032,144.37,0,0,37
-17,-5,1033,149.29,0,0,49
-18,-4,1033,153.31,0,0,47
-17,-4,1032,159.12,0,0,39
-17,-4,1032,164.04,0,0,35
-17,-7,1032,168.06,0,0,48
-17,-4,1033,172.08,0,0,49
-17,-8,1033,0.89,0,0,24
-17,-5,1032,4.92,0,0,23
-18,-6,1032,8.05,0,0,20
-18,-5,1031,12.97,0,0,19
-18,-6,1031,16.1,0,0,16
-18,-7,1031,20.12,0,0,22
-18,-7,1031,24.14,0,0,24
-18,-6,1031,25.93,0,0,24
-18,-2,1031,30.85,0,0,41
-17,-1,1031,38.9,0,0,23
-17,0,1030,46.95,0,0,19
-19,1,1029,55,0,0,15
-20,2,1027,63.05,0,0,19
-19,2,1025,71.1,0,0,17
-19,3,1024,79.15,0,0,17
-19,3,1024,86.3,0,0,22
-18,2,1024,91.22,0,0,0
-18,1,1024,96.14,0,0,0
-17,0,1024,100.16,0,0,0
-18,0,1024,1.79,0,0,0
-15,-3,1024,0.89,0,0,0
-16,0,1023,1.79,0,0,0
-16,0,1023,4.92,0,0,0
-15,-2,1022,6.71,0,0,0
-14,-7,1022,0.45,0,0,0
-14,-8,1021,1.79,0,0,0
-16,-11,1021,3.58,0,0,0
-14,-9,1019,4.47,0,0,0
-15,-10,1019,0.89,0,0,0
-16,-12,1019,0.89,0,0,0
-15,-12,1019,0.89,0,0,0
-16,-13,1019,1.79,0,0,0
-13,-7,1020,0.89,0,0,0
-12,-4,1019,1.78,0,0,0
-13,0,1019,2.67,0,0,0
-16,4,1018,4.02,0,0,0
-19,5,1017,13.85,0,0,0
-18,5,1017,22.79,0,0,0
-19,5,1017,32.62,0,0,0
-20,5,1018,40.67,0,0,0
-19,3,1020,49.61,0,0,0
-18,1,1023,61.68,0,0,0
-20,-1,1027,76.88,0,0,0
-20,-2,1028,89.84,0,0,0
-21,-3,1029,98.78,0,0,0
-25,-4,1030,113.98,0,0,0
-26,-5,1031,129.18,0,0,0
-25,-5,1031,141.25,0,0,0
-25,-6,1031,150.19,0,0,0
-24,-6,1032,162.26,0,0,0
-24,-6,1033,172.09,0,0,0
-23,-6,1033,181.92,0,0,0
-22,-7,1033,187.73,0,0,0
-21,-7,1033,192.65,0,0,0
-21,-7,1034,196.67,0,0,0
-21,-6,1035,201.59,0,0,0
-21,-4,1036,207.4,0,0,0
-22,-3,1036,216.34,0,0,0
-22,-2,1036,222.15,0,0,0
-23,-1,1035,230.2,0,0,0
-26,1,1033,238.25,0,0,0
-25,2,1032,245.4,0,0,0
-25,2,1031,252.55,0,0,0
-24,2,1031,257.47,0,0,0
-22,1,1031,4.02,0,0,0
-19,-1,1031,7.15,0,0,0
-19,-1,1031,10.28,0,0,0
-17,-4,1031,12.07,0,0,0
-18,-1,1031,15.2,0,0,0
-18,-5,1030,0.89,0,0,0
-18,-3,1030,3.13,0,0,0
-16,-9,1030,0.89,0,0,0
-16,-8,1029,1.78,0,0,0
-16,-11,1029,2.23,0,0,0
-16,-12,1029,3.12,0,0,0
-16,-10,1028,3.13,0,0,0
-17,-10,1028,4.92,0,0,0
-17,-12,1027,6.71,0,0,0
-17,-10,1027,8.5,0,0,0
-18,-13,1028,1.79,0,0,0
-16,-8,1028,4.02,0,0,0
-16,-6,1027,5.81,0,0,0
-15,-3,1027,0.89,0,0,0
-15,-1,1025,1.79,0,0,88
-18,0,1024,3.58,0,0,85
-19,1,1023,0.89,0,0,90
-18,2,1021,1.79,0,0,127
-17,1,1021,4.92,0,0,144
-14,-1,1021,5.81,0,0,203
-13,-3,1021,6.7,0,0,199
-13,-3,1021,0.89,0,0,231
-11,-5,1020,0.89,0,0,274
-13,-6,1020,1.79,0,0,340
-11,-5,1020,0.89,0,0,298
-11,-4,1019,1.79,0,0,268
-11,-4,1019,3.58,0,0,299
-12,-3,1018,5.37,0,0,300
-11,-4,1017,7.16,0,0,240
-11,-4,1016,10.29,0,0,213
-12,-3,1016,12.08,0,0,171
-11,-4,1016,15.21,0,0,153
-11,-5,1015,17,0,0,153
-11,-4,1015,18.79,0,0,140
-11,-3,1015,3.13,0,0,147
-10,-1,1015,6.26,0,0,158
-9,1,1015,9.39,0,0,153
-9,3,1015,1.79,0,0,154
-9,4,1014,4.92,0,0,143
-9,6,1013,8.05,0,0,90
-13,8,1012,16.1,0,0,55
-14,8,1013,24.15,0,0,52
-14,7,1014,32.2,0,0,41
-13,7,1015,39.35,0,0,29
-13,5,1016,47.4,0,0,37
-12,4,1018,52.32,0,0,49
-13,3,1019,56.34,0,0,56
-14,3,1020,62.15,0,0,38
-14,3,1021,67.96,0,0,37
-14,0,1022,71.98,0,0,28
-13,-1,1023,76.9,0,0,20
-15,-1,1023,7.15,0,0,22
-15,-1,1024,12.07,0,0,27
-15,-2,1025,16.09,0,0,34
-15,-2,1025,21.01,0,0,27
-15,-3,1025,25.03,0,0,32
-15,-3,1025,3.13,0,0,28
-15,-3,1026,8.05,0,0,28
-16,-3,1027,12.97,0,0,18
-17,-2,1028,20.12,0,0,17
-18,-2,1029,25.93,0,0,16
-19,-1,1028,35.76,0,0,18
-21,1,1027,44.7,0,0,16
-24,1,1026,53.64,0,0,12
-25,1,1026,62.58,0,0,13
-25,1,1026,72.41,0,0,23
-24,1,1026,82.24,0,0,21
-25,0,1026,91.18,0,0,13
-22,0,1027,99.23,0,0,14
-20,-1,1027,103.25,0,0,23
-21,-1,1027,105.04,0,0,16
-21,-4,1028,0.89,0,0,25
-21,-2,1027,4.02,0,0,20
-22,-2,1027,7.15,0,0,25
-22,-1,1027,12.07,0,0,19
-21,-4,1027,15.2,0,0,24
-21,-4,1026,0.89,0,0,25
-19,-8,1026,1.79,0,0,20
-20,-7,1025,0.89,0,0,24
-20,-8,1024,1.79,0,0,17
-18,-10,1024,0.89,0,0,10
-21,-2,1024,4.02,0,0,11
-21,-1,1025,9.83,0,0,16
-24,1,1025,17.88,0,0,20
-25,2,1025,26.82,0,0,13
-24,3,1024,33.97,0,0,12
-25,4,1023,42.02,0,0,12
-24,5,1022,50.07,0,0,12
-25,6,1020,57.22,0,0,12
-25,6,1020,65.27,0,0,31
-23,6,1020,72.42,0,0,36
-22,5,1020,78.23,0,0,42
-21,5,1020,84.04,0,0,52
-20,5,1020,89.85,0,0,26
-20,3,1020,93.87,0,0,24
-20,3,1020,97.89,0,0,25
-19,3,1021,101.02,0,0,43
-19,3,1020,105.94,0,0,47
-18,0,1020,109.96,0,0,61
-18,0,1020,114.88,0,0,66
-15,-1,1020,1.79,0,0,65
-15,-2,1020,0.89,0,0,70
-16,-1,1020,4.02,0,0,36
-16,-4,1019,8.94,0,0,37
-15,-5,1020,0.89,0,0,22
-16,-5,1020,3.13,0,0,24
-15,-6,1021,0.89,0,0,29
-15,0,1021,4.02,0,0,35
-18,3,1021,8.04,0,0,35
-21,5,1020,12.96,0,0,33
-22,6,1020,18.77,0,0,32
-22,7,1019,25.92,0,0,25
-22,7,1018,35.75,0,0,16
-23,7,1018,45.58,0,0,26
-23,7,1017,52.73,0,0,32
-22,6,1018,58.54,0,0,36
-21,5,1018,64.35,0,0,37
-21,5,1019,70.16,0,0,45
-19,4,1019,74.18,0,0,71
-19,5,1020,78.2,0,0,67
-19,2,1020,81.33,0,0,69
-18,2,1021,84.46,0,0,94
-18,1,1021,87.59,0,0,85
-18,1,1021,90.72,0,0,35
-16,-3,1022,93.85,0,0,26
-15,-2,1022,95.64,0,0,24
-15,0,1022,99.66,0,0,20
-17,1,1023,105.47,0,0,16
-15,0,1023,109.49,0,0,18
-18,0,1025,113.51,0,0,19
-17,0,1025,116.64,0,0,22
-17,2,1026,120.66,0,0,17
-19,3,1026,129.6,0,0,18
-19,4,1026,138.54,0,0,11
-20,5,1025,145.69,0,0,11
-17,5,1024,4.02,0,0,16
-18,6,1024,7.15,0,0,18
-18,6,1024,0.89,0,0,17
-18,5,1024,1.79,0,0,19
-17,4,1024,3.58,0,0,26
-17,1,1024,1.79,0,0,24
-15,-1,1025,2.68,0,0,54
-13,-1,1025,0.89,0,0,71
-8,-1,1026,5.81,0,0,129
-7,-2,1027,10.73,0,0,145
-7,-2,1027,13.86,0,0,101
-8,-3,1027,15.65,0,0,65
-9,-4,1027,0.89,0,0,70
-9,-4,1027,1.78,0,0,67
-9,-4,1027,0.89,0,0,76
-9,-4,1026,0.89,0,0,76
-9,-5,1027,0.89,0,0,68
-10,-4,1027,0.89,0,0,73
-10,-4,1027,0.89,0,0,73
-10,-6,1028,0.89,0,0,64
-9,-3,1028,1.79,0,0,53
-9,-2,1028,0.89,0,0,72
-9,-1,1028,1.79,0,0,78
-10,0,1027,6.71,0,0,72
-12,0,1026,10.73,0,0,56
-14,1,1026,14.75,0,0,54
-14,0,1025,16.54,0,0,40
-12,0,1026,19.67,0,0,49
-10,-1,1025,21.46,0,0,63
-9,-2,1026,23.25,0,0,66
-10,-2,1026,26.38,0,0,64
